naziv;sifra;marka;jedinica_mjere;cijena_za_jedinicu_mjere;maloprodajna_cijena;poseban_oblik_prodaje;naziv_posebnog_oblika_prodaje;sidrena_cijena;barkod;dostupnost
Ručno izrađeni i šivani kožni etui za 3 cigare;ETU-CIG-3;Covart;kom;95.00;95.00;NE;;95.00;COV0000038;DOSTUPNO
Ručno šivani kožni novčanik Stratum;NOV-STR-TSM;Covart;kom;95.00;95.00;NE;;95.00;COV0000053;NEDOSTUPNO
Ručno šivani kožni novčanik Stratum;NOV-STR-SME;Covart;kom;95.00;95.00;NE;;95.00;COV0000052;DOSTUPNO
Muški kožni remen Xyrian 35;REM-XYR-35-XL;Covart;kom;63.00;63.00;NE;;63.00;COV0000025;DOSTUPNO
Muški kožni remen Xyrian 35;REM-XYR-35-XXL;Covart;kom;63.00;63.00;NE;;63.00;COV0000026;DOSTUPNO
Muški kožni remen Xyrian 35;REM-XYR-35-L;Covart;kom;63.00;63.00;NE;;63.00;COV0000024;DOSTUPNO
Muški kožni remen Xyrian - Warrior;REM-XYR-RAT-XXL;Covart;kom;75.00;75.00;NE;;75.00;COV0000023;DOSTUPNO
Muški kožni remen Xyrian - Warrior;REM-XYR-RAT-M;Covart;kom;75.00;75.00;NE;;75.00;COV0000022;DOSTUPNO
Muški kožni remen Xyrian - Warrior;REM-XYR-RAT-L;Covart;kom;75.00;75.00;NE;;75.00;COV0000021;NEDOSTUPNO
Ženski kožni remen Zerath 35;REM-ZER-35-XL;Covart;kom;40.00;40.00;NE;;40.00;COV0000087;DOSTUPNO
Muški kožni remen Zerath 35;REM-ZER-35-TSM-XL;Covart;kom;30.00;30.00;NE;;30.00;COV0000027;NEDOSTUPNO
Kožni remen ručni rad Zerath 40;REM-ZER-40-XL;Covart;kom;40.00;40.00;NE;;40.00;COV0000017;DOSTUPNO
Ručno šivani ženski kožni remen Xyrian Limited;REM-XYR-OGR-SME-XXL;Covart;kom;87.00;87.00;NE;;87.00;COV0000084;DOSTUPNO
Kožni etui za ključeve;ETU-SME;Covart;kom;14.00;14.00;NE;;14.00;COV0000006;DOSTUPNO
Kožni etui za ključeve;ETU-CRN;Covart;kom;14.00;14.00;NE;;14.00;COV0000007;DOSTUPNO
Kožni etui za ključeve;ETU-CRN;Covart;kom;14.00;14.00;NE;;14.00;COV0000008;DOSTUPNO
Kožni etui za ključeve;ETU-SME;Covart;kom;14.00;14.00;NE;;14.00;COV0000009;DOSTUPNO
Kožni etui za ključeve;ETU-SME;Covart;kom;14.00;14.00;NE;;14.00;COV0000010;DOSTUPNO
Kožni etui za ključeve;ETU-SME;Covart;kom;14.00;14.00;NE;;14.00;COV0000011;DOSTUPNO
Kožni etui za ključeve;ETU-SME;Covart;kom;14.00;14.00;NE;;14.00;COV0000012;DOSTUPNO
